VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1,2019-08-31 20:36:50,2019-08-31 20:37:03,N,1,119,119,1,7.1,2.5,0.5,0.5,0.0,0.0,,0.3,3.8,5,1.0,0.0
1,2020-11-01 14:36:04,2020-11-01 14:55:33,N,1,244,75,1,4.8,17.5,0.0,0.5,0.0,0.0,,0.3,18.3,5,1.0,0.0
1,2020-11-06 18:21:52,2020-11-06 18:22:22,N,1,75,75,1,0.1,2.5,1.0,0.5,0.0,0.0,,0.3,4.3,5,1.0,0.0
1,2020-11-23 07:40:33,2020-11-23 08:02:59,N,1,14,29,1,6.4,22.5,0.0,0.5,0.0,0.0,,0.3,23.3,5,1.0,0.0
1,2020-08-18 15:32:52,2020-08-18 15:33:22,N,1,42,42,1,1.6,2.5,0.0,0.5,0.0,0.0,,0.3,3.3,5,1.0,0.0
1,2020-08-29 12:58:00,2020-08-29 13:04:32,N,1,41,42,1,1.0,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,5,1.0,0.0
1,2019-06-01 10:55:49,2019-06-01 11:16:59,N,1,55,227,1,7.0,22.5,0.0,0.5,0.0,0.0,,0.3,23.3,5,1.0,0.0
1,2019-06-01 20:30:40,2019-06-01 21:15:49,N,1,86,145,1,19.6,54.5,0.5,0.5,0.0,0.0,,0.3,55.8,5,1.0,0.0
1,2019-06-03 15:43:53,2019-06-03 16:06:56,N,1,65,106,1,2.3,15.0,0.0,0.5,0.0,0.0,,0.3,15.8,5,1.0,0.0
1,2019-06-03 18:21:34,2019-06-03 18:41:11,N,5,102,83,1,3.2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5,2.0,0.0
1,2019-06-04 13:07:13,2019-06-04 15:40:06,Y,1,134,134,2,18.4,102.0,2.75,0.5,0.0,6.12,,0.3,111.67,5,1.0,2.75
1,2019-06-10 14:10:37,2019-06-10 14:54:45,N,1,181,80,1,7.1,30.0,0.0,0.5,0.0,0.0,,0.3,30.8,5,1.0,0.0
1,2019-06-10 17:57:28,2019-06-10 17:57:32,N,1,155,155,1,4.5,23.5,1.0,0.5,0.0,0.0,,0.3,25.3,5,1.0,0.0
1,2019-06-13 11:09:36,2019-06-13 11:26:25,N,1,18,242,1,3.0,13.5,0.0,0.5,0.0,0.0,,0.3,14.3,5,1.0,0.0
1,2019-06-13 20:48:38,2019-06-13 20:49:45,N,1,93,93,1,0.3,3.0,0.5,0.5,0.0,0.0,,0.3,4.3,5,1.0,0.0
1,2019-06-14 15:55:20,2019-06-14 16:19:02,N,1,242,81,1,2.7,15.5,1.0,0.5,0.0,0.0,,0.3,17.3,5,1.0,0.0
1,2019-06-25 16:52:07,2019-06-25 18:03:39,N,1,226,149,1,15.1,51.5,1.0,0.5,0.0,0.0,,0.3,53.3,5,1.0,0.0
1,2019-06-27 17:56:45,2019-06-27 18:12:32,N,1,243,247,1,1.9,11.5,1.0,0.5,0.0,0.0,,0.3,13.3,5,1.0,0.0
1,2019-04-01 11:08:51,2019-04-01 11:27:25,N,1,242,254,1,4.9,17.5,0.0,0.5,0.0,0.0,,0.3,18.3,5,1.0,0.0
1,2019-04-02 06:03:59,2019-04-02 06:18:19,N,1,82,173,1,2.3,12.0,0.0,0.5,0.0,0.0,,0.3,12.8,5,1.0,0.0
1,2019-04-04 09:24:07,2019-04-04 09:45:23,N,5,159,47,1,3.0,15.0,0.0,0.0,0.0,0.0,,0.0,15.0,5,2.0,0.0
1,2019-04-04 13:01:11,2019-04-04 13:01:23,N,1,43,43,1,0.5,2.5,0.0,0.5,0.0,0.0,,0.3,3.3,5,1.0,0.0
